T3144 22813:679 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22813:880 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22814:082 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22814:282 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22814:483 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22814:684 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22814:884 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22815:086 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22815:287 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22815:488 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22815:690 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22815:891 JLINK_IsHalted()  returns FALSE (0002ms, 141258ms total)
T3144 22816:094 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22816:295 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22816:496 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22816:698 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22816:899 JLINK_IsHalted()  returns FALSE (0002ms, 141258ms total)
T3144 22817:101 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22817:302 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22817:503 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22817:704 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22817:905 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22818:105 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22818:307 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22818:507 JLINK_IsHalted()  returns FALSE (0002ms, 141258ms total)
T3144 22818:709 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22818:911 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22819:112 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22819:312 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22819:514 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22819:716 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22819:917 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22820:119 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22820:321 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22820:522 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22820:722 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22820:923 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22821:124 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22821:326 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22821:529 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22821:732 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22821:934 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22822:138 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22822:341 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22822:542 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22822:743 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22822:946 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22823:149 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22823:350 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22823:551 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22823:752 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22823:952 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22824:154 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22824:355 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22824:557 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22824:759 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22824:959 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22825:160 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22825:361 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22825:562 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22825:763 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22825:965 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22826:169 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22826:370 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22826:570 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22826:772 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22826:974 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22827:175 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22827:377 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22827:578 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22827:781 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22827:985 JLINK_IsHalted()  returns FALSE (0001ms, 141258ms total)
T3144 22828:186 JLINK_IsHalted()  returns FALSE (0000ms, 141258ms total)
T3144 22828:389 JLINK_IsHalted()  returns FALSE (0000ms, 141258ms total)
T3144 22828:589 JLINK_IsHalted()  returns FALSE (0000ms, 141258ms total)
T3144 22828:790 JLINK_IsHalted()  returns FALSE (0000ms, 141258ms total)
T3144 22828:992 JLINK_IsHalted()  returns FALSE (0000ms, 141258ms total)
T3144 22829:192 JLINK_IsHalted()  returns FALSE (0000ms, 141258ms total)
T3144 22829:394 JLINK_IsHalted()  returns FALSE (0000ms, 141258ms total)
T3144 22829:595 JLINK_IsHalted()  returns FALSE (0001ms, 141259ms total)
T3144 22829:797 JLINK_IsHalted()  returns FALSE (0000ms, 141258ms total)
T3144 22829:997 JLINK_IsHalted()  returns FALSE (0001ms, 141259ms total)
T3144 22830:199 JLINK_IsHalted()  returns FALSE (0001ms, 141259ms total)
T3144 22830:402 JLINK_IsHalted()  returns FALSE (0000ms, 141258ms total)
T3144 22830:602 JLINK_IsHalted()  returns FALSE (0000ms, 141258ms total)
T3144 22830:803 JLINK_IsHalted()  returns FALSE (0000ms, 141258ms total)
T3144 22831:003 JLINK_IsHalted()  returns FALSE (0000ms, 141258ms total)
T3144 22831:203 JLINK_IsHalted()  returns FALSE (0001ms, 141259ms total)
T3144 22831:405 JLINK_IsHalted()  returns FALSE (0001ms, 141259ms total)
T3144 22831:606 JLINK_IsHalted()  returns FALSE (0000ms, 141258ms total)
T3144 22831:809 JLINK_IsHalted()  returns FALSE (0000ms, 141258ms total)
T3144 22832:011 JLINK_IsHalted()  returns FALSE (0000ms, 141258ms total)
T3144 22832:212 JLINK_IsHalted()  returns FALSE (0000ms, 141258ms total)
T3144 22832:413 JLINK_IsHalted()  returns FALSE (0000ms, 141258ms total)
T3144 22832:614 JLINK_IsHalted()  returns FALSE (0000ms, 141258ms total)
T3144 22832:814 JLINK_IsHalted()  returns FALSE (0001ms, 141259ms total)
T3144 22833:016 JLINK_IsHalted()  returns FALSE (0001ms, 141259ms total)
T3144 22833:217 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22833:418 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22833:621 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22833:822 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22834:023 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22834:224 JLINK_IsHalted()  returns FALSE (0002ms, 141261ms total)
T3144 22834:427 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22834:628 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22834:829 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22835:031 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22835:231 JLINK_IsHalted()  returns FALSE (0002ms, 141261ms total)
T3144 22835:433 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22835:634 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22835:834 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22836:035 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22836:236 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22836:437 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22836:638 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22836:840 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22837:042 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22837:242 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22837:444 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22837:645 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22837:845 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22838:049 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22838:249 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22838:451 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22838:652 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22838:853 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22839:055 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22839:257 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22839:458 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22839:659 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
